cduid,csdname,csduid,pop
3534,"West Elgin (MU), Ontario",3534042,5129
3540,"North Huron (TP), Ontario",3540055,5028
3512,"Stirling-Rawdon (TP), Ontario",3512020,5202
3548,"East Ferris (MU), Ontario",3548034,5303
3512,"Centre Hastings (MU), Ontario",3512026,4859
3539,"Lucan Biddulph (TP), Ontario",3539060,5428
3558,"Greenstone (MU), Ontario",3558075,4514
3556,"Iroquois Falls (T), Ontario",3556031,4495
3515,"Havelock-Belmont-Methuen (TP), Ontario",3515030,4849
3534,"Southwold (TP), Ontario",3534024,4715
3510,"Central Frontenac (TP), Ontario",3510035,4560
3512,"Tyendinaga (TP), Ontario",3512001,4338
3549,"Seguin (TP), Ontario",3549003,4592
3507,"Prescott (T), Ontario",3507008,4398
3560,"Red Lake (MU), Ontario",3560042,4196
3547,"Deep River (T), Ontario",3547096,4108
3547,"Madawaska Valley (TP), Ontario",3547030,4178
3515,"Asphodel-Norwood (TP), Ontario",3515003,4780
3522,"Amaranth (TP), Ontario",3522008,4505
3512,"Hastings Highlands (MU), Ontario",3512076,4197
3541,"Northern Bruce Peninsula (MU), Ontario",3541069,4080
3512,"Marmora and Lake (MU), Ontario",3512046,4176
3534,"Dutton/Dunwich (MU), Ontario",3534030,4049
3549,"Callander (MU), Ontario",3549066,4164
3540,"Howick (TP), Ontario",3540046,4129
3512,"Bancroft (T), Ontario",3512061,3980
3531,"Perth South (TP), Ontario",3531013,3845
3509,"Montague (TP), Ontario",3509001,4004
3538,"Warwick (TP), Ontario",3538043,3924
3547,"Bonnechere Valley (TP), Ontario",3547035,3646
3502,"Casselman (VL), Ontario",3502044,3691
3540,"Morris-Turnberry (MU), Ontario",3540050,3694
3522,"Mulmur (TP), Ontario",3522016,3835
3549,"Powassan (MU), Ontario",3549060,3577
3557,"Blind River (T), Ontario",3557038,3577
3546,"Highlands East (MU), Ontario",3546005,3616
3502,"East Hawkesbury (TP), Ontario",3502001,3338
3558,"Marathon (T), Ontario",3558059,3334
3554,"Timiskaming, Unorganized, West Part (NO), Ontario",3554094,3285
3552,"Sables-Spanish Rivers (TP), Ontario",3552023,3257
3544,"Lake of Bays (TP), Ontario",3544027,3581
3507,"Merrickville-Wolford (VL), Ontario",3507052,3289
3522,"Melancthon (TP), Ontario",3522019,3330
3507,"Athens (TP), Ontario",3507042,2823
3522,"Grand Valley (T), Ontario",3522010,3198
3539,"Adelaide-Metcalfe (TP), Ontario",3539047,3070
3547,"Laurentian Hills (T), Ontario",3547090,3038
3547,"Admaston/Bromley (TP), Ontario",3547043,2879
3547,"North Algona Wilberforce (TP), Ontario",3547070,3011
3557,"Wawa (MU), Ontario",3557076,2975
3547,"Horton (TP), Ontario",3547046,3152
3556,"Cochrane, Unorganized, North Part (NO), Ontario",3556092,2908
3558,"Shuniah (MU), Ontario",3558028,2971
3538,"Enniskillen (TP), Ontario",3538016,2794
3552,"Sudbury, Unorganized, North Part (NO), Ontario",3552093,2690
3559,"Atikokan (T), Ontario",3559001,2841
3551,"Northeastern Manitoulin and the Islands (MU), Ontario",3551017,2762
3549,"McDougall (MU), Ontario",3549031,2822
3552,"Markstay-Warren (MU), Ontario",3552013,2831
3552,"French River / Rivière des Français (M), Ontario",3552001,2771
3507,"Front of Yonge (TP), Ontario",3507017,2660
3522,"East Garafraxa (TP), Ontario",3522001,2849
3512,"Tyendinaga Mohawk Territory (IRI), Ontario",3512004,2609
3544,"Georgian Bay (TP), Ontario",3544065,2818
3551,"Wikwemikong Unceded (IRI), Ontario",3551043,2689
3547,"Greater Madawaska (TP), Ontario",3547008,2715
3515,"North Kawartha (TP), Ontario",3515037,2590
3549,"Perry (TP), Ontario",3549014,2623
3556,"Black River-Matheson (TP), Ontario",3556014,2551
3547,"Killaloe, Hagarty and Richards (TP), Ontario",3547033,2589
3538,"Brooke-Alvinston (MU), Ontario",3538015,2391
3546,"Algonquin Highlands (TP), Ontario",3546018,2508
3511,"Addington Highlands (TP), Ontario",3511035,2343
3549,"Parry Sound, Unorganized, Centre Part (NO), Ontario",3549096,2325
3512,"Madoc (TP), Ontario",3512036,2234
3560,"Pikangikum 14 (IRI), Ontario",3560077,2164
3551,"Central Manitoulin (MU), Ontario",3551006,2166
3558,"Neebing (MU), Ontario",3558001,2127
3560,"Sandy Lake 88 (IRI), Ontario",3560071,2201
3538,"Point Edward (VL), Ontario",3538031,2038
3548,"Bonfield (TP), Ontario",3548027,2043
3548,"Mattawa (T), Ontario",3548021,1967
3552,"Chapleau (TP), Ontario",3552092,2017
